P.No,Title,URL,Difficulty,Category,Expected TC,My TC,Solved
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,Graph,O(M * N),,False
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Medium,String Part-II,O(n + m),,False
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,Binary Tree part-III,O(n),,False
733,Flood Fill,https://leetcode.com/problems/flood-fill/,Easy,Binary Trees[Miscellaneous],O(n),,False
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,Binary Tree part-II,O(n),,False
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,Stack and Queue Part-II,O(m * n),,False
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,Linked List and Arrays,O(n),,False
493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs/,Hard,Arrays Part-III,O(n log n),,False
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,Arrays Part-III,O(m * n) / O(n),,False
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,Easy,Binary Tree,O(n),,False
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,Linked List,O(n + m),,False
237,Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,Medium,Linked List,O(1),,False
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,Linked List Part-II,O(n + m),,False
232,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,Stack and Queue,O(1),,False
90,Subsets II,https://leetcode.com/problems/subsets-ii/,Medium,Recursion,O(n * 2^n),,False
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,Stack and Queue,O(n),,False
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,Binary Tree part-II,O(n),,False
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,Binary Tree part-III,O(n),,False
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,Linked List Part-II,O(n),,False
460,LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,Stack and Queue Part-II,O(1),,False
700,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,Easy,Binary Search Tree,O(h),,False
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,Binary Search,O(log n),,False
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,Binary Tree,O(n),,False
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,String,O(S),,False
133,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,Graph,O(V + E),,False
987,Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Hard,Binary Tree,O(n log n),,False
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,Arrays,O(n^2),,False
496,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,Easy,Stack and Queue,O(n + m),,False
1373,Maximum Sum BST in Binary Tree,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/,Hard,Binary Search Tree Part-II,O(n),,False
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,Trie,O(L),,False
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,Linked List and Arrays,O(n),,False
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,Binary Search Tree,O(n),,False
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Arrays Part-II,O(n log n),,False
